1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,4,4,4,4,4,5,4,6,7,7,5,5
8,9,10,10,10,11,11,11,12,9,9,9,13,14
11,15,15,15,15,15,15,15,15,15,15,15,11,11
16,16,16,16,16,16,16,16,16,16,16,16,16,16
15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,1,1,1,1,17,1,1,1,1,1,1,1,1
18,19,19,19,18,19,19,19,18,19,18,18,18,19
20,11,11,11,11,11,11,11,20,11,11,20,20,20
21,21,21,21,21,21,21,21,21,21,21,21,21,21
22,22,22,22,22,22,22,22,22,22,22,22,22,22
23,23,23,23,23,23,23,23,23,23,23,23,23,23
24,24,24,24,24,24,24,24,24,24,24,24,24,24
25,25,25,25,25,25,25,25,25,25,25,25,25,25
26,26,26,26,26,26,26,26,26,26,26,26,26,26
27,27,27,27,27,27,27,27,27,27,27,27,27,27
28,28,29,28,30,28,29,29,28,28,28,28,30,29
31,31,31,31,31,31,31,31,31,31,31,31,31,31
32,32,32,32,32,32,32,32,32,32,32,32,32,32
33,33,33,33,33,33,33,33,33,33,33,33,33,33
19,19,19,19,19,19,19,19,19,19,19,19,19,19
34,34,34,34,34,34,34,34,34,34,34,34,34,34
35,35,35,35,35,35,35,35,35,35,35,35,35,35
3,3,3,3,3,3,3,3,3,3,3,3,3,3
36,28,28,32,19,19,37,37,37,37,38,38,19,36
37,37,37,37,37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37
39,39,39,39,39,39,39,39,39,39,39,39,39,39
21,21,21,21,21,21,21,21,40,21,21,21,21,21
41,41,41,41,41,41,41,41,41,41,41,41,41,41
42,42,43,42,43,43,42,43,43,43,42,43,42,42
44,44,44,44,44,44,44,44,44,44,44,44,44,44
11,11,11,45,46,46,46,46,46,46,46,46,46,46
47,47,47,47,47,47,47,47,47,47,47,47,47,47
32,32,32,32,32,32,32,32,32,32,32,32,32,32
48,48,48,48,48,48,48,48,48,48,48,48,48,48
49,49,49,49,49,49,49,49,49,49,49,49,49,49
8,8,8,8,8,8,8,8,8,8,8,8,8,8
50,50,50,50,50,50,50,50,50,50,50,50,50,50
51,51,51,51,51,51,51,51,51,51,51,51,51,51
52,52,52,52,52,52,52,52,52,52,52,52,52,52
51,51,25,25,25,25,25,25,25,25,25,25,25,25
27,27,27,27,27,27,27,27,27,27,27,27,27,27
20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,23,23,23,23,23,23,23,23,23,23,23,23,53
27,27,27,27,27,27,27,27,27,27,27,27,27,27
29,29,29,29,29,29,29,29,29,29,29,29,29,29
54,54,54,54,54,54,55,55,55,55,55,55,55,54
44,44,44,44,44,44,44,44,44,44,44,44,44,44
